Txhash,Blockno,UnixTimestamp,DateTime,From,To,TxnFee(ETH),TxnFee(USD),Status,ErrCode,Method
0x841a7124b3b2a37008bd3c355cc9cb9999aac079d371b122c8d3b1501d2085bf,75793679,1677006529,2/21/23 19:08,0xed26b14762edce1d38e17b94afbb810a441c08e4,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0xebe644adeacd7d50015ac6aeba028416de6c4dff0e3915cb0eddd5823c4e47a6,75793683,1677006529,2/21/23 19:08,0xb484526906b9512fc055ffde71c64c2567b9edbb,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
0x2f83ecd2136f06c08313341b6124188ee899731043acba4c71ee133ad3e8cd37,75793689,1677006529,2/21/23 19:08,0x12169e7affcd67d964ab0acaf533883271a9043b,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191337,0.299533625,,,Claim
0xb774f51df7fc47b210d29673d420b734d21c1e741ecd5d4c02628b86084c2532,75793691,1677006529,2/21/23 19:08,0xa34199e7ea57eb63dd62b427e9edab402535b24a,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
0x69960078f122ecc554d35048905cdf3a668461c271f4b1d4387a0b20a5ed70e7,75793695,1677006529,2/21/23 19:08,0x3652dbf64d5f142a1afd0522caa1562f980ce949,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191337,0.299533625,,,Claim
0x59a122e245defc01ff71c6c5df67e93c45278ca5fe1d1d2fa9b43bc93f92a5e1,75793697,1677006529,2/21/23 19:08,0x130fdf2a7805c764ed6ef338016fd4f14d8021f6,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
0xc092550782a85f5cc02c2a1a97ec072ccdc515cd87c11233b37de34f8d1d39e0,75793699,1677006544,2/21/23 19:09,0x062a07cbf4848fda67292a96a5e02c97e402233f,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
0xbc4e0dad090f64e7320b8833e6823104aa6849d278d94ce2f5c7a32e67c9d55b,75793706,1677006544,2/21/23 19:09,0xc83b21fee94c8f4cdf2a0c3d4ea835403fdc25fc,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190901,0.298852174,,,Claim
0x11d10f22d84e8e11729d878bbf3ce263d4fffa73227dfed38faa765bd16397eb,75793709,1677006544,2/21/23 19:09,0x4bf40b68d352772388b841d437f8f8626abc7b43,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0x66483e0c6348705cd3e5b4a41e7618abf9ea7cfeacd56668ea9577bc0425ac4c,75793713,1677006544,2/21/23 19:09,0xc3914b5d44eb453f20c7fc215979ed85672cc596,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191482,0.29976075,,,Claim
0x007379af7d4d43035d2157c02718cf9ac727d4da039d8e1d4273ab1a5872a939,75793714,1677006544,2/21/23 19:09,0x683306052fcbd474fdc754d13e00866276d3e3e1,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190321,0.297943597,,,Claim
0x665ff90e3b88911585b730930c176f1af6ac70c4049c80a31e44a68e34d2a420,75793718,1677006544,2/21/23 19:09,0x4aa1f613e40272266dc1c376518a8a17a5fffc5f,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
0x3a0247c3fc62979d2b6cbb6e5deea614095bb22049e91ed5121b395989e134cf,75793736,1677006544,2/21/23 19:09,0x29a834471b7f2a38805a5d58185d81ef41d27eb5,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0xc43c8445585773cdfd99962542aef28d6ba6e7dfcbb52ee8bf76f1b5390871b6,75793743,1677006559,2/21/23 19:09,0x66566dbb50d236e3bf7a19574fd49756e2b0211e,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190321,0.297943597,,,Claim
0xf6634e327ffe40693210a7f92ca2ef75c65c726930bb58ba548af2eedadaa8c0,75793745,1677006559,2/21/23 19:09,0x531bd913e330bfe69f735c16877145f8b36719cc,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0x13c68eb57cb78e10d4cbfc7e529bf7def246bf50818dbe41972e0ce7bbcf7eb0,75793746,1677006559,2/21/23 19:09,0x07af8cfcc9c94a63f8544fdff48a3f5dd8b6e37c,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
0x5243969e9524aa00475a8e58078f4e29bd669f559c3a5f381f881c28adfb248a,75793751,1677006559,2/21/23 19:09,0xb8530006b544561e8ae916bd34b06e6d7ad0c001,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191337,0.299533625,,,Claim
0x721fbeb514af0b063771825db1636c946e1df9a6c4c24816ef33c13204a7ffec,75793754,1677006559,2/21/23 19:09,0xcbbb123936d627d91e9b41455b4ec9715b433333,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191465,0.29973398,,,Claim
0x5875fd72b4ec296d8565d6505641c055836bb7359a268a7e8172110c8c0c7638,75793758,1677006559,2/21/23 19:09,0x41e260e8f07615418968c5fc7d10e277cf7eab56,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0x0bda7d50b68acf679798bb8523375c892096d5bfd378e8f6fb4a19cea582e195,75793759,1677006559,2/21/23 19:09,0xba8421340396eb6d6be19e8b4715ae68e34ec161,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0x6b2436b71dfbc1cdbfb6af6d85619b542eb7229a87f11349047298245314b7fd,75793760,1677006559,2/21/23 19:09,0x7df7b2cf382156aea1332a558fadc77eba1b30a2,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191465,0.29973398,,,Claim
0xbb9bf7d73d6c04b6d957ee376a2cec390697976d5e30f0ef5e2c1aea77f1268a,75793769,1677006559,2/21/23 19:09,0x7d161ba844e4fc5a17f04796a2b8166bf82972ed,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
